s d ratio, s/d ratio
lv end-diastolic volume,left ventricular dimension at end diastole
lv internal dimension diastole,left ventricular dimension at end diastole
lv size in diastole,left ventricular dimension at end diastole
lv1dd,left ventricular dimension at end diastole
lved,left ventricular dimension at end diastole
lved in mm,left ventricular dimension at end diastole
lvedd,left ventricular dimension at end diastole
lvedd on 2d measures,left ventricular dimension at end diastole
lveds 2d,left ventricular dimension at end diastole
lveds mm,left ventricular dimension at end diastole
lvid,left ventricular dimension at end diastole
lvid ed,left ventricular dimension at end diastole
lvid es,left ventricular dimension at end systole
lvid ed chord psax,left ventricular dimension at end diastole
lvid ed chordal,left ventricular dimension at end diastole
lvid ed chordplax,left ventricular dimension at end diastole
lvid ed max,left ventricular dimension at end diastole
lvid ed plax,left ventricular dimension at end diastole
lvidd,left ventricular dimension at end diastole
lv dias dim,left ventricular dimension at end diastole
lv sys dime,left ventricular dimension at end systole
internal diameter systolic,left ventricular dimension at end systole
left ventricle systole,left ventricular dimension at end systole
left ventricular diameter during systole,left ventricular dimension at end systole
left ventricular diameter in systole,left ventricular dimension at end systole
left ventricular dimension systolic,left ventricular dimension at end systole
left ventricular end systole,left ventricular dimension at end systole
left ventricular end systolic diameter,left ventricular dimension at end systole
left ventricular end systolic dimension,left ventricular dimension at end systole
left ventricular end-systolic diameter,left ventricular dimension at end systole
left ventricular end-systolic dimension,left ventricular dimension at end systole
left ventricular end-systolic dimensions,left ventricular dimension at end systole
left ventricular internal diameter in systole,left ventricular dimension at end systole
left ventricular systole,left ventricular dimension at end systole
left ventricular systolic,left ventricular dimension at end systole
left ventricular systolic diameter,left ventricular dimension at end systole
left ventricular systolic volume,left ventricular dimension at end systole
lv diam sys,left ventricular dimension at end systole
lv end systole,left ventricular dimension at end systole
lv end systolic dimension,left ventricular dimension at end systole
lv end-systole,left ventricular dimension at end systole
lv end-systolic size,left ventricular dimension at end systole
lv end-systolic volume,left ventricular dimension at end systole
lv id end systole,left ventricular dimension at end systole
lv internal dimension systole,left ventricular dimension at end systole
lv systole,left ventricular dimension at end systole
lv systolic diameter,left ventricular dimension at end systole
lv systolic dimension,left ventricular dimension at end systole
lv1ds,left ventricular dimension at end systole
lves in mm,left ventricular dimension at end systole
lvesd,left ventricular dimension at end systole
lvid,left ventricular dimension at end systole
lvids,left ventricular dimension at end systole
lvids 2d,left ventricular dimension at end systole
lvids mm,left ventricular dimension at end systole
a left ventricular ejection fraction,left ventricular ejection fraction
ef,left ventricular ejection fraction
ef mod sp4,left ventricular ejection fraction
ef techhozte,left ventricular ejection fraction
ef teich,left ventricular ejection fraction
ef trace,left ventricular ejection fraction
ef via rao view,left ventricular ejection fraction
ejcetion fraction,left ventricular ejection fraction
ejection fraction,left ventricular ejection fraction
ejection fraction calculated,left ventricular ejection fraction
ejection fraction of the left ventricle,left ventricular ejection fraction
ejection fraction overall,left ventricular ejection fraction
ejection fraction rate,left ventricular ejection fraction
ejection fracton,left ventricular ejection fraction
ejection function,left ventricular ejection fraction
est ef,left ventricular ejection fraction
gated left ventricular ejection fraction,left ventricular ejection fraction
global function ef,left ventricular ejection fraction
global left ventricular ejection fraction,left ventricular ejection fraction
global lv ejection fraction estimate,left ventricular ejection fraction
left ejection fraction,left ventricular ejection fraction
left venticular ejection fraction,left ventricular ejection fraction
left ventricle ef,left ventricular ejection fraction
left ventricle ejection fraction,left ventricular ejection fraction
left ventricle overall systolic function,left ventricular ejection fraction
left ventricular calculated ejection fraction,left ventricular ejection fraction
left ventricular ef,left ventricular ejection fraction
left ventricular ejecdtion fraction,left ventricular ejection fraction
left ventricular ejection factor,left ventricular ejection fraction
left ventricular ejection fraction,left ventricular ejection fraction
left ventricular ejection fraction after stress,left ventricular ejection fraction
left ventricular ejection fraction during rest,left ventricular ejection fraction
left ventricular ejection fraction ef,left ventricular ejection fraction
left ventricular ejection fraction lvef,left ventricular ejection fraction
left ventricular ejection fraction on a sinus beat,left ventricular ejection fraction
left ventricular ejection fractions,left ventricular ejection fraction
left ventricular ejection fracture,left ventricular ejection fraction
left ventricular function,left ventricular ejection fraction
left ventricular systolic dysfunction,left ventricular ejection fraction
left ventricular systolic function,left ventricular ejection fraction
left ventricular systolic function ef,left ventricular ejection fraction
lv dysfunction,left ventricular ejection fraction
lv ef,left ventricular ejection fraction
lv ef ave mod simpsons,left ventricular ejection fraction
lv ef2d,left ventricular ejection fraction
lv ejection fraction,left ventricular ejection fraction
lv ejection fraction %,left ventricular ejection fraction
lv est ef,left ventricular ejection fraction
lv estimated ef,left ventricular ejection fraction
lv function,left ventricular ejection fraction
lv gram ef,left ventricular ejection fraction
